time,episode,episode_time,mode,pos_x,pos_y,pos_z,target_x,target_y,target_z,position_error,speed,angular_speed,energy_proxy,average_thrust,average_health,m0_health,m0_cmd,m0_pitch_deg,m0_yaw_deg,m0_effective_thrust,m0_energy,m1_health,m1_cmd,m1_pitch_deg,m1_yaw_deg,m1_effective_thrust,m1_energy,m2_health,m2_cmd,m2_pitch_deg,m2_yaw_deg,m2_effective_thrust,m2_energy,m3_health,m3_cmd,m3_pitch_deg,m3_yaw_deg,m3_effective_thrust,m3_energy,m4_health,m4_cmd,m4_pitch_deg,m4_yaw_deg,m4_effective_thrust,m4_energy,m5_health,m5_cmd,m5_pitch_deg,m5_yaw_deg,m5_effective_thrust,m5_energy
2.18816,1,2.2,BaselineAllocator,-0.460584,2.22641,-1.56779,-0.462162,2.19721,-1.5282,0.0492209,0.391075,0.180012,0.0934006,0.0759664,1,1,0,0,0,0,0,1,0.0911597,6.37978,3.63708,3.19059,0.0186801,1,0.0911597,5.79148,64.8628,3.19059,0.0186801,1,0.0911597,5.79147,-64.8628,3.19059,0.0186801,1,0.0911597,64.7537,7.74697,3.19059,0.0186801,1,0.0911597,-64.7537,7.74698,3.19059,0.0186801
2.38837,1,2.4,BaselineAllocator,-0.47097,2.22217,-1.62225,-0.462162,2.19721,-1.5282,0.0977035,0.177985,0.669204,0.104185,0.0893886,0.871199,1,0,0,0,0,0,1,0.107266,0.0584481,3.8433,3.75432,0.0208369,1,0.107266,0.0530926,65,3.75432,0.0208369,1,0.107266,0.0530919,-65,3.75432,0.0208369,0.227194,0.107266,64.7251,8.17981,0.852958,0.0208369,1,0.107266,-64.7251,8.17981,3.75432,0.0208369
2.58955,1,2.6,BaselineAllocator,-0.449274,2.21666,-1.63467,-0.462162,2.19721,-1.5282,0.108999,0.182288,0.481178,0.115927,0.0911154,0.871199,1,0,0,0,0,0,1,0.109339,-9.67915,3.8553,3.82685,0.0231854,1,0.109339,-8.78424,64.6825,3.82685,0.0231854,1,0.109339,-8.78425,-64.6825,3.82685,0.0231854,0.227194,0.109339,64.7234,8.20494,0.869435,0.0231854,1,0.109339,-64.7234,8.20494,3.82685,0.0231854
2.7898,1,2.8,BaselineAllocator,-0.398412,2.21281,-1.61108,-0.462162,2.19721,-1.5282,0.10572,0.363027,0.363999,0.12817,0.0931176,0.871199,1,0,0,0,0,0,1,0.111741,-17.7527,3.60006,3.91094,0.025634,1,0.111741,-16.0715,63.9084,3.91094,0.025634,1,0.111741,-16.0715,-63.9084,3.91094,0.025634,0.227194,0.111741,64.7586,7.66915,0.88854,0.025634,1,0.111741,-64.7586,7.66913,3.91094,0.025634
2.9904,1,3,BaselineAllocator,-0.325132,2.21398,-1.56044,-0.462162,2.19721,-1.5282,0.141768,0.505107,0.298466,0.14096,0.0951567,0.871199,1,0,0,0,0,0,1,0.114188,-24.6645,3.08777,3.99658,0.0281921,1,0.114188,-22.2507,62.8308,3.99658,0.0281921,1,0.114188,-22.2507,-62.8308,3.99658,0.0281921,0.227194,0.114188,64.8222,6.58934,0.907998,0.0281921,1,0.114188,-64.8222,6.58935,3.99658,0.0281921
3.19055,1,3.2,BaselineAllocator,-0.257392,2.2186,-1.50411,-0.462162,2.19721,-1.5282,0.207289,0.404586,0.222442,0.155004,0.113969,0.871199,1,0.113969,-64.7271,-8.14949,3.98893,0.00104148,1,0.113969,-25.2477,1.80861,3.98893,0.0307925,1,0.113969,-22.751,62.7242,3.98893,0.0307925,1,0.113969,-22.751,-62.7242,3.98893,0.0307925,0.227194,0.113969,64.6919,3.82886,0.906259,0.0307925,1,0.113969,-64.9389,3.87205,3.98893,0.0307925
3.39089,1,3.4,BaselineAllocator,-0.202758,2.22513,-1.45093,-0.462162,2.19721,-1.5282,0.272104,0.338633,0.181991,0.168721,0.11367,0.871199,1,0.11367,-64.9372,-3.92275,3.97845,0.00181841,1,0.11367,-25.3676,0.869141,3.97845,0.0333804,1,0.11367,-22.85,62.7027,3.97845,0.0333804,1,0.11367,-22.85,-62.7027,3.97845,0.0333804,0.227194,0.11367,64.6185,1.83238,0.90388,0.0333804,1,0.11367,-64.9859,1.86315,3.97845,0.0333804
3.59147,1,3.6,BaselineAllocator,-0.154699,2.23303,-1.40117,-0.238189,2.19721,-1.5282,0.156178,0.38607,0.234795,0.181745,0.0937413,0.871199,1,0,0,0,0,0.00207646,1,0.11249,-24.1471,-1.85913,3.93713,0.0359336,1,0.11249,-21.7721,62.9299,3.93713,0.0359336,1,0.11249,-21.7721,-62.9299,3.93713,0.0359336,0.227194,0.11249,64.9354,-3.97981,0.894492,0.0359336,1,0.11249,-64.9354,-3.97982,3.93713,0.0359336
3.7926,1,3.8,BaselineAllocator,-0.0856767,2.24176,-1.34817,0.0636509,2.19721,-1.5282,0.238104,0.484553,0.0893363,0.194613,0.0933776,0.871199,1,0,0,0,0,0.0023294,1,0.112053,-23.6643,-4.60859,3.92186,0.0384567,1,0.112053,-21.3929,63.0064,3.92186,0.0384567,1,0.112053,-21.3929,-63.0064,3.92186,0.0384567,0.227194,0.112053,64.6056,-9.7765,0.891022,0.0384567,1,0.112053,-64.6057,-9.77651,3.92186,0.0384567
3.99352,1,4,BaselineAllocator,0.0142052,2.24901,-1.29552,0.364957,2.19721,-1.5282,0.424085,0.625315,0.0566359,0.207455,0.093411,0.871199,1,0,0,0,0,0.00258216,1,0.112093,-23.1895,-6.54081,3.92326,0.0409746,1,0.112093,-21.0297,63.0781,3.92326,0.0409746,1,0.112093,-21.0298,-63.0781,3.92326,0.0409746,0.227194,0.112093,64.2118,-13.7275,0.89134,0.0409746,1,0.112093,-64.2118,-13.7275,3.92326,0.0409746
