time,episode,episode_time,mode,pos_x,pos_y,pos_z,target_x,target_y,target_z,position_error,speed,angular_speed,energy_proxy,average_thrust,average_health,m0_health,m0_cmd,m0_pitch_deg,m0_yaw_deg,m0_effective_thrust,m0_energy,m1_health,m1_cmd,m1_pitch_deg,m1_yaw_deg,m1_effective_thrust,m1_energy,m2_health,m2_cmd,m2_pitch_deg,m2_yaw_deg,m2_effective_thrust,m2_energy,m3_health,m3_cmd,m3_pitch_deg,m3_yaw_deg,m3_effective_thrust,m3_energy,m4_health,m4_cmd,m4_pitch_deg,m4_yaw_deg,m4_effective_thrust,m4_energy,m5_health,m5_cmd,m5_pitch_deg,m5_yaw_deg,m5_effective_thrust,m5_energy
2.19046,1,2.2,BaselineAllocator,2.35143,0.501801,4.37564,0,2,0,5.18845,1.19892,3.92555,3.51122,0.483328,1,1,0.603894,6.54886,-13.6757,21.1363,0.588214,1,0.513173,-47.451,14.8848,17.9611,0.641328,1,0.688021,28.5989,22.1536,24.0807,0.52752,1,0.455313,-20.5703,16.7466,15.936,0.521439,1,0.235652,4.3272,-1.00833,8.24783,0.586196,1,0.403913,25.6658,26.3292,14.137,0.64652
2.39118,1,2.4,BaselineAllocator,2.12739,0.505078,4.24236,0,2,0,4.97576,2.29648,7.50945,3.83929,0.459022,1,1,0.468147,20.9349,-7.14181,16.3851,0.656005,1,0.393947,53.5248,10.0073,13.7881,0.676812,1,0.404781,31.2288,-18.818,14.1673,0.591865,1,0.486379,5.53873,34.6598,17.0233,0.572779,1,0.384241,-1.4693,25.6633,13.4484,0.648392,1,0.616635,-4.45311,24.0839,21.5822,0.693442
2.59239,1,2.6,BaselineAllocator,1.73517,0.500006,3.71893,0,2,0,4.36935,3.7061,9.57277,4.16224,0.430546,1,1,0.544645,0.801794,5.42546,19.0626,0.732356,1,0.478633,-4.51989,14.6695,16.7522,0.714141,1,0,28.5385,16.839,0,0.639526,1,0.605095,38.4693,23.916,21.1783,0.6292,1,0.381306,-14.2113,-9.3042,13.3457,0.698544,1,0.573593,2.50433,14.4255,20.0758,0.748477
2.79251,1,2.8,BaselineAllocator,1.3734,0.50011,3.31587,0,2,0,3.88984,2.64652,3.56386,4.50023,0.399085,1,1,0.494743,-13.3193,10.2413,17.316,0.794795,1,0.207409,20.5901,-39.3848,7.25932,0.748303,1,0.486629,17.2142,21.9929,17.032,0.712559,1,0.32312,-22.688,22.911,11.3092,0.689856,1,0.51457,57.7308,-0.590791,18.01,0.746365,1,0.368036,-7.22474,3.55361,12.8813,0.808355
2.99281,1,3,BaselineAllocator,1.0823,0.522587,2.83058,0,2,0,3.3714,3.17067,6.49297,4.85058,0.55867,1,1,0.638215,0.899311,18.0011,22.3375,0.854896,1,0.61232,-12.4689,-15.0053,21.4312,0.812504,1,0.551256,-22.6512,-1.55469,19.294,0.784452,1,0.684971,-5.85705,-14.8739,23.974,0.748305,1,0.338517,1.06013,23.7768,11.8481,0.793661,1,0.52674,-32.6998,-2.3773,18.4359,0.856759
3.1929,1,3.2,BaselineAllocator,0.79502,0.502178,2.26156,0,2,0,2.82669,3.26225,6.52025,5.15169,0.55848,1,1,0.27691,-65,37.6121,9.69186,0.909985,1,0.585243,-26.549,27.1432,20.4835,0.859715,1,0.538428,-12.335,6.39584,18.845,0.819738,1,0.739977,8.23882,-0.82574,25.8992,0.792267,1,0.58347,-3.35891,-35.0958,20.4215,0.850126,1,0.626853,-8.3922,-6.64885,21.9399,0.919857
3.39311,1,3.4,BaselineAllocator,0.594655,0.501562,1.72515,0,2,0,2.36116,2.54431,11.5364,5.51186,0.487345,1,1,0.256675,-24.1508,10.5062,8.98364,0.961738,1,0.539646,-42.2806,1.69019,18.8876,0.923617,1,0.51382,-1.65936,14.7707,17.9837,0.88289,1,0.48957,34.6767,33.7704,17.135,0.852794,1,0.424773,2.17113,38.333,14.8671,0.896084,1,0.699587,-18.2348,-4.2798,24.4855,0.994736
3.59373,1,3.6,BaselineAllocator,0.488267,0.5,1.31214,0,2,0,2.05186,1.98887,7.81207,5.8696,0.549307,1,1,0.768067,17.9289,-5.2136,26.8823,1.03022,1,0.726778,-27.9773,-14.5345,25.4372,0.989012,1,0.245391,7.09431,11.3686,8.58869,0.922779,1,0.369736,-42.9964,-6.36212,12.9408,0.907334,1,0.548804,-6.08945,-7.4553,19.2081,0.961525,1,0.637069,25.6911,18.0457,22.2974,1.05873
3.79491,1,3.8,BaselineAllocator,0.292847,0.50248,1.09078,0,2,0,1.87567,1.8699,7.93221,6.17384,0.545211,0.859249,1,0.627949,-2.69606,19.0736,21.9782,1.08446,1,0.326947,-23.8441,16.6233,11.4431,1.04872,1,0.518994,7.32366,11.4211,18.1648,0.958694,1,0.426769,11.6797,15.3127,14.9369,0.949784,1,0.825107,-13.7561,-18.0877,28.8788,1.02025,0.155495,0.545498,14.81,2.08679,2.96877,1.11193
3.99575,1,4,BaselineAllocator,0.0348072,0.500014,1.14388,0,2,0,1.8867,0.967419,5.46149,6.50329,0.435322,0.859249,1,0.424136,17.2095,-22.3249,14.8448,1.14164,1,0.466719,9.63656,-5.73583,16.3352,1.08492,1,0.516918,10.6281,3.18561,18.0921,1.01532,1,0.375552,6.87146,15.9946,13.1443,0.998935,1,0.504325,-65,-21.4258,17.6514,1.10016,0.155495,0.324281,-0.203605,-4.52646,1.76484,1.16232
4.19707,1,4.2,BaselineAllocator,0.0403521,0.500204,1.24191,0,2,0,1.94766,1.00367,2.54535,6.85594,0.48848,0.859249,1,0.633616,-42.6082,7.82952,22.1766,1.21175,1,0.673364,-12.4299,3.95278,23.5678,1.1365,1,0.296044,20.0084,36.5127,10.3616,1.07027,1,0.252688,65,5.34626,8.84409,1.04144,1,0.641276,-30.7588,-38.4085,22.4447,1.16519,0.155495,0.43389,52.9498,-34.6756,2.36136,1.23078
4.39795,1,4.4,BaselineAllocator,0.294425,0.501393,1.17583,0,2,0,1.92746,2.07108,7.20814,7.1801,0.463652,0.859249,1,0.333955,-12.1907,-3.41912,11.6884,1.27127,1,0.670106,1.09895,11.4836,23.4537,1.18398,1,0.365183,1.00048,-19.4136,12.7814,1.10875,1,0.436134,12.474,26.9917,15.2647,1.0792,1,0.587847,-5.53355,23.1053,20.5746,1.23526,0.155495,0.388685,-22.3656,21.9991,2.11534,1.30164
