time,episode,episode_time,mode,pos_x,pos_y,pos_z,target_x,target_y,target_z,position_error,speed,angular_speed,energy_proxy,average_thrust,average_health,m0_health,m0_cmd,m0_pitch_deg,m0_yaw_deg,m0_effective_thrust,m0_energy,m1_health,m1_cmd,m1_pitch_deg,m1_yaw_deg,m1_effective_thrust,m1_energy,m2_health,m2_cmd,m2_pitch_deg,m2_yaw_deg,m2_effective_thrust,m2_energy,m3_health,m3_cmd,m3_pitch_deg,m3_yaw_deg,m3_effective_thrust,m3_energy,m4_health,m4_cmd,m4_pitch_deg,m4_yaw_deg,m4_effective_thrust,m4_energy,m5_health,m5_cmd,m5_pitch_deg,m5_yaw_deg,m5_effective_thrust,m5_energy
3.9956,1,4,BaselineAllocator,0.177507,0.5,0.798503,0,2,0,1.70854,1.45182,4.97784,6.49126,0.428876,1,1,0.392045,15.6137,-22.4861,13.7216,1.13345,1,0.464529,7.90229,-4.92873,16.2585,1.08466,1,0.517348,9.67979,6.42951,18.1072,1.01224,1,0.385941,3.48128,13.9986,13.5079,1.00271,1,0.505398,-65,-21.5727,17.6889,1.09865,1,0.307997,-3.27433,-8.49337,10.7799,1.15954
4.19564,1,4.2,BaselineAllocator,0.0353722,0.517052,0.657867,0,2,0,1.62271,0.81731,8.0652,6.83433,0.477847,1,1,0.571009,-46.5172,8.92665,19.9853,1.19381,1,0.683115,-15.3716,7.15516,23.909,1.13745,1,0.292847,19.9828,41.8629,10.2496,1.06795,1,0.255951,59.8899,2.27287,8.95829,1.04624,1,0.633075,-23.4572,-41.9473,22.1576,1.16358,1,0.431083,48.4608,-39.9657,15.0879,1.2253
4.39667,1,4.4,BaselineAllocator,-0.299711,0.500005,0.439908,0,2,0,1.59164,2.83409,10.578,7.15634,0.476333,1,1,0.335473,-7.21035,-7.93616,11.7416,1.24465,1,0.679264,0.189536,7.59729,23.7742,1.18688,1,0.357142,-3.64699,-18.7716,12.5,1.10623,1,0.506612,4.58941,22.4982,17.7314,1.09012,1,0.618166,-8.10878,25.9214,21.6358,1.23719,1,0.361337,-27.8749,21.9416,12.6468,1.29128
4.59731,1,4.6,BaselineAllocator,-0.737441,0.5,0.277799,0,2,0,1.6944,1.6908,3.0503,7.51108,0.465423,1,1,0.574944,26.2288,4.56783,20.123,1.31287,1,0.57157,3.03427,18.0595,20.005,1.24159,1,0.438447,15.5837,-34.828,15.3456,1.15718,1,0.352063,63.0549,-8.52969,12.3222,1.14844,1,0.430988,15.7956,5.43119,15.0846,1.30777,1,0.424523,-34.0095,10.0116,14.8583,1.34324
4.79807,1,4.8,BaselineAllocator,-0.954617,0.516441,0.202139,0,2,0,1.7757,1.01913,4.54201,7.84843,0.541672,1,1,0.636799,5.59423,-14.2075,22.288,1.36675,1,0.4737,8.41048,17.0023,16.5795,1.29742,1,0.595083,38.8174,-11.2804,20.8279,1.20657,1,0.508133,18.7364,-9.83124,17.7847,1.21616,1,0.322723,-23.947,-44.9304,11.2953,1.36857,1,0.713597,7.9314,34.3079,24.9759,1.39297
4.99813,1,5,BaselineAllocator,-1.11734,0.568381,0.264418,0,2,0,1.83518,0.467492,10.4437,8.21877,0.495616,1,1,0.420595,-15.6932,35.3433,14.7208,1.41698,1,0.661612,18.3129,-13.3562,23.1564,1.35364,1,0.655586,-6.90904,19.4034,22.9455,1.27629,1,0.373542,-2.17847,16.1144,13.074,1.28122,1,0.175256,8.53408,-17.1694,6.13397,1.41537,1,0.687107,-30.6884,14.0989,24.0487,1.47528
5.19869,1,5.2,BaselineAllocator,-1.34763,0.500454,0.302498,0,2,0,2.03869,2.11914,7.15791,8.4991,0.34321,1,1,0.143728,-1.60576,-13.3984,5.03046,1.45676,1,0.519376,13.2386,-12.2588,18.1782,1.40186,1,0.420822,-9.93865,-8.18413,14.7288,1.3033,1,0.237754,-0.975735,-11.2856,8.32138,1.34728,1,0.33201,19.5509,-30.3709,11.6204,1.4632,1,0.405571,-24.602,6.59136,14.195,1.52671
5.39949,1,5.4,BaselineAllocator,-1.74804,0.500001,0.341849,0,2,0,2.32863,1.76826,8.13167,8.87573,0.502493,1,1,0.683107,-11.899,8.83198,23.9087,1.52762,1,0.35147,24.2989,-13.1328,12.3015,1.46115,1,0.420718,2.22051,-33.4449,14.7251,1.34711,1,0.353244,-3.74051,-14.5489,12.3636,1.43198,1,0.65653,-2.19284,50.2834,22.9786,1.51549,1,0.54989,10.0712,-21.3732,19.2462,1.59238
5.60016,1,5.62,BaselineAllocator,-2.06575,0.5,0.38827,0,2,0,2.58226,1.06436,11.726,9.23195,0.54071,1,1,0.605146,34.7781,28.9648,21.1801,1.59749,1,0.627531,-30.1432,14.4623,21.9636,1.51575,1,0.527473,29.8826,28.6486,18.4616,1.3859,1,0.269789,-42.1086,-9.92929,9.44263,1.48882,1,0.635314,-4.33749,-36.745,22.236,1.58982,1,0.579009,27.2901,-25.5499,20.2653,1.65417
5.80097,1,5.82,BaselineAllocator,-2.22154,0.501365,0.621691,0,2,0,2.75094,1.63363,7.29657,9.54969,0.408781,1,1,0.236345,13.0959,21.2067,8.27207,1.65189,1,0.45135,3.51791,14.8786,15.7972,1.55675,1,0.643486,-6.82608,34.9508,22.522,1.44613,1,0.343864,-8.50597,-10.4464,12.0352,1.55134,1,0.289099,-23.8938,5.56864,10.1185,1.63799,1,0.488545,-24.5362,6.18758,17.0991,1.70559
